title,price,bedrooms,has_maid_room,bathrooms,area sqm,property_type,available from,location,amenities
Sea View Chalet 3BED only 5% D.P Over 8Years only.,16000000,3,Yes,3,1501615,Chalet,21 Jun 2026,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Built in Wardrobes, Balcony, Central A/C, Kitchen Appliances, Private Garden, Covered Parking, Maids Room, Private Pool, Security"
Sea View Chalet 3BED only 5% D.P Over 8Years only.,16000000,3,Yes,3,1501615,Chalet,21 Jun 2026,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Built in Wardrobes, Balcony, Central A/C, Kitchen Appliances, Private Garden, Covered Parking, Maids Room, Private Pool, Security"
Villa 4BR Silver sands sea view under market price,27000000,4,Yes,4,3003229,Villa,20 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Villa 4BR Silver sands sea view under market price,27000000,4,Yes,4,3003229,Villa,20 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
First Row Lagoon Large Ground Chalet Over 10 Years,12000000,3,Yes,3,1701830,Chalet,19 Jun 2026,"The Med, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
First Row Lagoon Large Ground Chalet Over 10 Years,12000000,3,Yes,3,1701830,Chalet,19 Jun 2026,"The Med, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
LAST LARGE LUXURY PENTHOUSE IN NEW CAIRO OVER 7 Y!,22000000,3,Yes,4,2502691,Penthouse,8 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
LAST LARGE LUXURY PENTHOUSE IN NEW CAIRO OVER 7 Y!,22000000,3,Yes,4,2502691,Penthouse,8 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Last luxury large 2 bed sea view | over 7 years !!,19000000,2,Yes,3,1401507,Chalet,17 Jun 2026,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Last luxury large 2 bed sea view | over 7 years !!,19000000,2,Yes,3,1401507,Chalet,17 Jun 2026,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Last large luxury sea view villa over 7 years !!!!,35000000,4,Yes,5,4204521,Villa,17 Jun 2026,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Last large luxury sea view villa over 7 years !!!!,35000000,4,Yes,5,4204521,Villa,17 Jun 2026,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Chalet Hacienda Hanish seaview down payment 5%,10000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Hacienda Heneish, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Chalet Hacienda Hanish seaview down payment 5%,10000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Hacienda Heneish, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Chalet with 5% down payment 10 years in Palm Hills,10000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Hacienda Bay, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Chalet with 5% down payment 10 years in Palm Hills,10000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Hacienda Bay, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
First Row Golf Fully Finished 1400m Luxury Villa,350000000,6,Yes,6,140015069,Villa,18 Jun 2026,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","Partly furnished, Balcony, Central A/C, Kitchen Appliances, Maids Room, Shared Pool, Private Pool, View of Water, Shared Spa, Shared Gym"
First Row Golf Fully Finished 1400m Luxury Villa,350000000,6,Yes,6,140015069,Villa,18 Jun 2026,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","Partly furnished, Balcony, Central A/C, Kitchen Appliances, Maids Room, Shared Pool, Private Pool, View of Water, Shared Spa, Shared Gym"
Own Your Twin House View Lagoon Fully Finished,42634811,5,Yes,5,2062217,Villa,18 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Maids Room, Private Garden, Shared Pool, Study, View of Water, Security"
Own Your Twin House View Lagoon Fully Finished,42634811,5,Yes,5,2062217,Villa,18 Jun 2026,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Maids Room, Private Garden, Shared Pool, Study, View of Water, Security"
First row one story villa at la vista North coast,130000000,5,No,5,4004306,Villa,18 Jun 2026,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Security, Shared Spa"
First row one story villa at la vista North coast,130000000,5,No,5,4004306,Villa,18 Jun 2026,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Security, Shared Spa"
UAE cities launch fully finished chalets sea view,11000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
UAE cities launch fully finished chalets sea view,11000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
With down payment 5% receive chalet in beit-bahr,11000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Beit Al Bahr, Sidi Heneish, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
With down payment 5% receive chalet in beit-bahr,11000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Beit Al Bahr, Sidi Heneish, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
ready chalet in ramla direct lagoon with intallmnt,12000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Ramla Lakeside, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
ready chalet in ramla direct lagoon with intallmnt,12000000,2,Yes,2,1201292,Chalet,18 Jun 2026,"Ramla Lakeside, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
senior chalet finished ground floor with a garden,11000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Water"
senior chalet finished ground floor with a garden,11000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Water"
chalet sea view with 5% down payment sodic caesar,15000000,3,Yes,3,1701830,Chalet,18 Jun 2026,"Caesar, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
chalet sea view with 5% down payment sodic caesar,15000000,3,Yes,3,1701830,Chalet,18 Jun 2026,"Caesar, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
chalet with garden in masyaf finished resale ready,10000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Al Masyaf, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
chalet with garden in masyaf finished resale ready,10000000,2,Yes,2,1101184,Chalet,18 Jun 2026,"Al Masyaf, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Ground Chalet old price installments لقطه,3300000,2,No,2,1151238,Chalet,18 Jun 2026,"South Med, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Study, Security, Shared Gym, Walk-in Closet"
Resale Ground Chalet old price installments لقطه,3300000,2,No,2,1151238,Chalet,18 Jun 2026,"South Med, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Study, Security, Shared Gym, Walk-in Closet"
Townhouse Close to The Sea _ Early Delivery _ 5%DP,24000000,3,Yes,4,2002153,Townhouse,17 Jun 2026,"The Med, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Kitchen Appliances, Private Pool, Shared Pool"
Townhouse Close to The Sea _ Early Delivery _ 5%DP,24000000,3,Yes,4,2002153,Townhouse,17 Jun 2026,"The Med, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Kitchen Appliances, Private Pool, Shared Pool"
Luxuries 1St Row At Marassi Bay With Private Pool,360000000,7,Yes,7,119012809,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Luxuries 1St Row At Marassi Bay With Private Pool,360000000,7,Yes,7,119012809,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Luxuries Sea Front villa At Marassi - VALINCIA,260000000,7,Yes,7,200021528,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Luxuries Sea Front villa At Marassi - VALINCIA,260000000,7,Yes,7,200021528,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Luxuries Sea Front villa At Marassi Bay With Pool,220000000,7,Yes,5,7207750,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Luxuries Sea Front villa At Marassi Bay With Pool,220000000,7,Yes,5,7207750,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
One Story Villa 2NDRow Full Sea View-Ready to Move,117000000,4,Yes,7,93110021,Villa,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Maids Room, Private Garden, Shared Pool, Study, View of Water, Security"
One Story Villa 2NDRow Full Sea View-Ready to Move,117000000,4,Yes,7,93110021,Villa,17 Jun 2026,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Maids Room, Private Garden, Shared Pool, Study, View of Water, Security"
lowest price ground chalet sea view ready to move,16990000,4,Yes,4,2102260,Chalet,17 Jun 2026,"Swan Lake North Coast, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
lowest price ground chalet sea view ready to move,16990000,4,Yes,4,2102260,Chalet,17 Jun 2026,"Swan Lake North Coast, Qesm Ad Dabaah, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Town house 4bed direct lagoon with ACS in Marassi,27000000,4,Yes,4,3003229,Townhouse,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Town house 4bed direct lagoon with ACS in Marassi,27000000,4,Yes,4,3003229,Townhouse,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Villa 6bed with nanny w driver in Marassi,53000000,6,Yes,6,6597093,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Villa 6bed with nanny w driver in Marassi,53000000,6,Yes,6,6597093,Villa,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Villa Full Sea View 6bed in Almaza Bay,42000000,6,Yes,7,4204521,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Villa Full Sea View 6bed in Almaza Bay,42000000,6,Yes,7,4204521,Villa,17 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale Ground Chalet Direct Lagoon Lowest Price,6750000,2,Yes,2,1121206,Chalet,17 Jun 2026,"Hacienda Bay, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Shared Pool, Study, View of Water, Private Pool, Private Garden, Covered Parking, Central A/C, Built in Wardrobes"
Resale Ground Chalet Direct Lagoon Lowest Price,6750000,2,Yes,2,1121206,Chalet,17 Jun 2026,"Hacienda Bay, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Shared Pool, Study, View of Water, Private Pool, Private Garden, Covered Parking, Central A/C, Built in Wardrobes"
Hotel Apartment by Address View Marina Furnished,59282000,1,No,1,1001076,Apartment,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Private Pool, Study, View of Water, Walk-in Closet"
Hotel Apartment by Address View Marina Furnished,59282000,1,No,1,1001076,Apartment,17 Jun 2026,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Private Pool, Study, View of Water, Walk-in Closet"
TWIN READY TO MOVE IN LAVISTA CITY OVER 8 YEARS,36800000,4,No,4,2973197,Villa,16 Jun 2026,"La Vista City, New Capital Compounds, New Capital City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water"
TWIN READY TO MOVE IN LAVISTA CITY OVER 8 YEARS,36800000,4,No,4,2973197,Villa,16 Jun 2026,"La Vista City, New Capital Compounds, New Capital City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water"
WITH 5% DP FINISHED CHALET FOR SALE LAGOON VIEW,20000000,2,Yes,2,1401507,Chalet,16 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water"
WITH 5% DP FINISHED CHALET FOR SALE LAGOON VIEW,20000000,2,Yes,2,1401507,Chalet,16 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water"
"Sea and Lagoon View 3Bedroom in Ras El-Hekma, 0%DP",13000000,3,Yes,3,1501615,Chalet,10 Jun 2026,"Cali Coast, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
"Sea and Lagoon View 3Bedroom in Ras El-Hekma, 0%DP",13000000,3,Yes,3,1501615,Chalet,10 Jun 2026,"Cali Coast, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
3-Bedroom Chalet in Direction White Ras El Hekma,14000000,3,Yes,3,1551668,Chalet,15 Jun 2026,"Direction White, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
3-Bedroom Chalet in Direction White Ras El Hekma,14000000,3,Yes,3,1551668,Chalet,15 Jun 2026,"Direction White, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Bahary Chalet for Sale in Azha 3BDS Delivery 1year,7800000,3,No,3,1331432,Chalet,15 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Shared Spa, Security"
Bahary Chalet for Sale in Azha 3BDS Delivery 1year,7800000,3,No,3,1331432,Chalet,15 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Shared Spa, Security"
Premium Town House in Saada Prime Unit Ready Now,18000000,3,No,4,3003229,Villa,15 Jun 2026,"Saada Compound, New Cairo City, Cairo","Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water, Shared Spa, Shared Gym"
Premium Town House in Saada Prime Unit Ready Now,18000000,3,No,4,3003229,Villa,15 Jun 2026,"Saada Compound, New Cairo City, Cairo","Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water, Shared Spa, Shared Gym"
Under Market Price apartment 3BDs good view لقطه,14950000,3,No,3,1701830,Apartment,15 Jun 2026,"The Water Way, North Investors Area, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Security, Shared Spa"
Under Market Price apartment 3BDs good view لقطه,14950000,3,No,3,1701830,Apartment,15 Jun 2026,"The Water Way, North Investors Area, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Study, Security, Shared Spa"
SEA VIEW 3BR Chalet with only 5% Down payment !!,17000000,3,Yes,4,1451561,Chalet,14 Jun 2026,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
SEA VIEW 3BR Chalet with only 5% Down payment !!,17000000,3,Yes,4,1451561,Chalet,14 Jun 2026,"Ras Soma, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
PANORAMIC SEA VIEW CHALET FINISHED+AC'S WITH 5%DP,16521000,2,Yes,2,1171259,Chalet,14 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security"
PANORAMIC SEA VIEW CHALET FINISHED+AC'S WITH 5%DP,16521000,2,Yes,2,1171259,Chalet,14 Jun 2026,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, View of Water, Security"
Villa in Ramla Last Ready-to-Move Full Sea View,119000000,4,Yes,4,3053283,Villa,10 Jun 2026,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, View of Water, Security, Shared Spa, Lobby in Building"
Villa in Ramla Last Ready-to-Move Full Sea View,119000000,4,Yes,4,3053283,Villa,10 Jun 2026,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, View of Water, Security, Shared Spa, Lobby in Building"
"Own standalone villa in Karmell,Zayed lowest price",21000000,4,Yes,4,4404736,Villa,11 Jun 2026,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study"
"Own standalone villa in Karmell,Zayed lowest price",21000000,4,Yes,4,4404736,Villa,11 Jun 2026,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study"
LAGOON VIEW CHALET _ EARLY DELIVERY _ OVER 9 YEARS,11500000,2,Yes,3,1201292,Chalet,11 Jun 2026,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
LAGOON VIEW CHALET _ EARLY DELIVERY _ OVER 9 YEARS,11500000,2,Yes,3,1201292,Chalet,11 Jun 2026,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Lowest Price For Chalet 3 bed Sea View in Modon,22000000,3,Yes,4,2072228,Chalet,11 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Lowest Price For Chalet 3 bed Sea View in Modon,22000000,3,Yes,4,2072228,Chalet,11 Jun 2026,"Modon Abu Dhabi, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
With Wonderful Location Cheapest Price Townhouse,21800000,4,Yes,4,2582777,Townhouse,11 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
With Wonderful Location Cheapest Price Townhouse,21800000,4,Yes,4,2582777,Townhouse,11 Jun 2026,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study"
Resale 1st Row TwinHouse Ready To Move At Playa,24800000,5,Yes,4,1952099,Villa,11 Jun 2026,"Playa Resort, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
Resale 1st Row TwinHouse Ready To Move At Playa,24800000,5,Yes,4,1952099,Villa,11 Jun 2026,"Playa Resort, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool"
lowest price villa sea view prime location in azha,19500000,4,Yes,6,2202368,Villa,11 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Furnished, Balcony, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security, Shared Spa"
lowest price villa sea view prime location in azha,19500000,4,Yes,6,2202368,Villa,11 Jun 2026,"Azha North, Ras Al Hekma, North Coast","Furnished, Balcony, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security, Shared Spa"
under market price twinhouse in zed prime location,17000000,3,Yes,4,2262433,Twin House,11 Jun 2026,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, View of Water, Security"
under market price twinhouse in zed prime location,17000000,3,Yes,4,2262433,Twin House,11 Jun 2026,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, View of Water, Security"
under market price villa Silver sands see view RTM,23000000,4,Yes,5,4204521,Villa,11 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Kitchen Appliances, Private Garden, Private Pool, Shared Pool"
under market price villa Silver sands see view RTM,23000000,4,Yes,5,4204521,Villa,11 Jun 2026,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Kitchen Appliances, Private Garden, Private Pool, Shared Pool"
